class_id,chapter_id,topic_id,topic_name,topic_content
1,1,1,"DBMS Overview",...
1,1,2,"Data Models",...
1,2,1,Keys,...
1,2,2,Normalization,...
2,1,1,"Array operations",...
2,1,2,"Multi-dim arrays",...
2,2,1,"Singly Linked List",...
2,2,2,"Doubly Linked List",...
3,1,1,"Voltage & Current",...
3,1,2,Resistance,...
3,2,1,KVL,...
3,2,2,KCL,...
4,1,1,"Zeroth Law",...
4,1,2,"First Law",...
4,2,1,"Second Law",...
4,2,2,"Third Law",...
5,1,1,Equilibrium,...
5,1,2,"Stress & Strain",...
5,2,1,"Elastic Curve",...
5,2,2,Superposition,...
